,Abia,Aba North,Aba South,Arochukwu,Bende,Ikwuano,Isiala Ngwa North,Isiala Ngwa South,Isuikwato,Obi Ngwa,Ohafia,Osisioma Ngwa,Ugwunagbo,Ukwa East,Ukwa West,Umuahia North,Umuahia South,Umu-Nneochi,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
17,Kano,Ajingi,Albasu,Bagwai,Bebeji,Bichi,Bunkure,Dala,Dambatta,Dawakin Kudu,Dawakin Tofa,Doguwa,Fagge,Gabasawa,Garko,Garun Mallam,Gaya,Gezawa,Gwale,Gwarzo,Kabo,Kano Municipal,Karaye,Kibiya,Kiru,Kumbtso,Kunchi,Kura,Madobi,Makoda,Minjibir,Nassarawa,Rano,Rimin Gado,Rogo,Shanono,Sumalia,Takai,Turaunai,Tofa,Tsanyawa,Tudun Wada,Ungogo,Warawa,Wudil
18,Katsina,Bakori,Batagarawa,Batsari,Baure,Bindawa,Charanchi,Dan Musa,Dandume,Danja,Daura,Dutsi,Dutsin-Ma,Faskari,Funtua,Ingawa,Jibia,Kafur,Kaita,Kankara,Kankia,Katsina,Kurfi,Kusada,Mai'Adua,Malumfashi,Mani,Mashi,Matazu,Musawa,Rimi,Sabuwa,Safana,Sandamu,Zango,,,,,,,,,,
19,Kebbi,Aleiro,Arewa Dandil,Argungu,Augie,Bagudo,Birnin Kebbi,Bunza,Dandil,Fakai,Gwandu,Jega,Kalgo,Koko/Besse,Maiyama,Ngaski,Sakaba,Shanga,Suru,Danko/Wasagu,Yauri,Zuru,,,,,,,,,,,,,,,,,,,,,,,
20,Kogi,Adavi,Ajaokuta,Ankpa,Bassa,Dekina,Ibaji,Idah,Igalamela-Odolu,Ijumu,Kabba/Bunu,Koton Karfe,Lokoja,Mopa-Muro,Ofu,Ogori/Magongo,Okehi,Okene,Olamaboro,Omala,Yagba East,Yagba West,,,,,,,,,,,,,,,,,,,,,,,
21,Kwara,Asa,Baruten,Edu,Ekiti,Ifelodun,Ilorin East,Ilorin South,Ilorin West,Irepodun,Isin,Kaiama,Moro,Offa,Oke Ero,Oyun,Pategi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Lagos,Agege,Alimosho Ifelodun,Alimosho,Amuwo-Odofin,Apapa,Badagry,Epe,Eti-Osa,Ibeju-Lekki,Ifako/Ijaye,Ikeja,Ikorodu,Kosofe,Lagos Island,Lagos Mainland,Mushin,Ojo,Oshodi-Isolo,Shomolu,Surulere,,,,,,,,,,,,,,,,,,,,,,,,
23,Nasarawa,Akwanga,Awe,Doma,Karu,Keana,Keffi,Kokona,Lafia,Nasarawa,Nasarawa/Eggon,Obi,Toto,Wamba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Niger,Agaie,Agwara,Bida,Borgu,Bosso,Chanchaga,Edati,Gbako,Gurara,Katcha,Kontagora,Lapai,Lavun,Magama,Mariga,Mashegu,Mokwa,Munya,Paikoro,Rafi,Rijau,Shiroro,Suleja,Tafa,Wushishi,,,,,,,,,,,,,,,,,,,
25,Ogun,Abeokuta North,Abeokuta South,Ado-Odo/Ota,Ewekero,Ifo,Ijebu East,Ijebu North,Ijebu North East,Ijebu Ode,Ikenne,Imeko Afon,Ipokia,Obafemi Owode,Odogbolu,Odeda,Ogun Waterside,Remo North,Sagamu,Yewa North,Yewa South,,,,,,,,,,,,,,,,,,,,,,,,
26,Ondo,Akoko North,Akoko North East,Akoko South East,Akoko South,Akure North,Akure,Idanre,Ifedore,Ese Odo,Ilaje,Ile Oluji/Okeigbo,Irele,Odigbo,Okitipupa,Ondo,Ondo East,Ose,Owo,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Osun,Atakumosa West,Atakumosa East,Ayedaade,Ayedire,Bolawaduro,Boripe,Ede,Ede North,Egbedore,Ejigbo,Ife North,Ife Central,Ife South,Ife East,Ifedayo,Ifelodun,Ilesha West,Ila-Orangun,Ilesha East,Irepodun,Irewole,Isokan,Iwo,Obokun,Odo-Otin,Ola Oluwa,Olorunda,Oriade,Orolu,Osogbo,,,,,,,,,,,,,,
28,Oyo,Akinyele Moniya,Afijio Jobele,Egbeda,Ibadan North Agodi Gate,Ibadan North-East Iwo Road,Ibadan North-West,Ibadan South-West Ring Road,Ibadan South-East Mapo,Ibarapa North,Ibarapa Central,Iberapa East Eruwa,Ido,Irepo,Iseyin,Kajola,Lagelu,Ogbomoso North,Ogbomoso South,Oyo West Ojongbodu,Atiba Ofa Meta,Atisbo Tede,Saki West,Saki East,Itesiwaju Out,Iwajowa,Olorunsogo,Oluyole,Ogo Oluwa,Surulere,Orelope,Ori Ire,Oyo East,Ono Ara,,,,,,,,,,,
29,Pleteau,Barkin Ladi,Bassa,Bokkos,Jos East,Jos North,Jos South,Kanam,Kanke,Langtang North,Langtang South,Mangu,Mikang,Pankshin,Qua'an Pan,Riyom,Shendam,Wase,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Rivers,Abua-Odual,Ahoada East,Ahoada West,Akuku-Toru,Andoni,Asari-Toru,Bonny,Degema,Elema,Emohua,Etche,Gokana,Ikwerre,Oyigbo,Khana,Obio-Akpor,Ogba-Egbama-Ndoni,Ogu-Bolo,Okrika,Omumma,Opobo-Nkoro,Port Harcourt,Tai,,,,,,,,,,,,,,,,,,,,,
31,Sokoto,Binji,Bodinga,Dange Shuni,Gada,Goronyo,Gudu,Gwadabawa,Illela,Isa,Kebbe,Kware,Rabah,Sabon Birni,Shagari,Silame,Sokoto North,Sokoto South,Tambuwal,Tangaza,Tureta,Wamako,Wurno,Yabo,,,,,,,,,,,,,,,,,,,,,
32,Taraba,Ardo Kola,Bali,Donga,Gashaka,Gassola,Ibi,Jalingo,Karim Lamido,Kurni,Lau,Sardauna,Takum,Ussa,Wukari,Yorro,Zing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Yobe,Bade,Busari,Damaturu,Geidam,Guijba,Gulani,Fika,Fune,Jakusko,Karasuwa,Machina,Nangere,Nguru,Potiskum,Tarmuwa,Yunusari,Yunufari,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Zamfara,Anka,Bakura,Birnin Magaji/Kiyaw,Bukkuyum,Bungudu,Tsafe(Chafe),Gummi,Gusau,Kaura Namoda,Maradun,Maru,Shinkafi,Talata Mafara,Zurmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Abuja,Abaji,Abuja Municipal,Gwagwalada,Kuje,Bwari,Kwali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
